Projeto F609/F709!
Tempo: Posicao:
54.00 0.00
108.00 0.26
163.00 0.53
219.00 0.79
275.00 1.06
333.00 1.32
392.00 1.58
452.00 1.85
513.00 2.11
576.00 2.38
649.00 2.64
725.00 2.90
797.00 3.17
872.00 3.43
949.00 3.69
1028.00 3.96
1111.00 4.22
1199.00 4.49
1259.00 4.75
1320.00 5.01
1384.00 5.28
1449.00 5.54
1516.00 5.81
1584.00 6.07
1656.00 6.33
1729.00 6.60
1806.00 6.86
1886.00 7.13
1970.00 7.39
2058.00 7.65
2152.00 7.92
2251.00 8.18
2358.00 8.44
2473.00 8.71
2604.00 8.97
2751.00 9.24
2930.00 9.50
3159.00 9.76
3665.00 10.03
0.00 10.29
0.00 10.56
0.00 10.82
0.00 11.08
0.00 11.35
0.00 11.61
0.00 11.88
0.00 12.14
0.00 12.40
0.00 12.67
0.00 12.93
